"","gene","n"
"3610","KIF20A",2
"3611","KIF20B",7
"3612","KIF21A",2
"3613","KIF21B",2
"3614","KIF23",2
"3615","KIF24",2
"3616","KIF25",5
"3617","KIF26B",12
"3618","KIF2C",3
"3619","KIF3A",1
"3620","KIF3C",4
"3621","KIF4A",3
"3622","KIF5A",2
"3623","KIF5C",2
"3624","KIF6",1
"3625","KIF7",2
"3626","KIFAP3",1
"3627","KIFC1",2
"3628","KIFC2",5
"3629","KIFC3",1
"3630","KIRREL1",2
"3631","KIRREL3",1
"3632","KISS1",9
"3633","KIT",3
"3634","KIZ",2
"3635","KL",1
"3636","KLB",5
"3637","KLC1",4
"3638","KLC3",8
"3639","KLC4",2
"3640","KLF12",2
"3641","KLF15",3
"3642","KLF17",3
"3643","KLF2",4
"3644","KLF4",4
"3645","KLF5",3
"3646","KLF8",3
"3647","KLF9",2
"3648","KLHDC1",4
"3649","KLHDC7A",2
"3650","KLHDC8A",2
"3651","KLHDC8B",3
"3652","KLHL10",3
"3653","KLHL14",1
"3654","KLHL21",2
"3655","KLHL23",2
"3656","KLHL30",3
"3657","KLHL31",7
"3658","KLHL32",4
"3659","KLHL34",6
"3660","KLHL35",6
"3661","KLHL38",2
"3662","KLHL4",2
"3663","KLHL41",4
"3664","KLHL5",3
"3665","KLHL6",2
"3666","KLK1",3
"3667","KLK10",10
"3668","KLK11",6
"3669","KLK12",3
"3670","KLK3",2
"3671","KLK6",13
"3672","KLK7",9
"3673","KLKB1",4
"3674","KLLN",5
"3675","KLRB1",1
"3676","KLRC1",1
"3677","KLRC3",2
"3678","KLRC4",2
"3679","KLRF1",1
"3680","KLRG1",1
"3681","KMT2C",2
"3682","KMT5C",1
"3683","KNDC1",2
"3684","KNG1",5
"3685","KNL1",3
"3686","KNTC1",2
"3687","KPNA2",2
"3688","KPNA5",24
"3689","KPNA7",4
"3690","KPTN",2
"3691","KRBA1",4
"3692","KRBA2",15
"3693","KRBOX1",1
"3694","KREMEN1",1
"3695","KREMEN2",5
"3696","KRIT1",23
"3697","KRT10",1
"3698","KRT12",1
"3699","KRT15",6
"3700","KRT16",3
"3701","KRT17",6
"3702","KRT18",3
"3703","KRT19",6
"3704","KRT20",5
"3705","KRT23",13
"3706","KRT40",4
"3707","KRT5",3
"3708","KRT6A",8
"3709","KRT6B",9
"3710","KRT7",2
"3711","KRT75",10
"3712","KRT8",4
"3713","KRT80",16
"3714","KRT86",2
"3715","KRTAP4-1",10
"3716","KRTAP5-1",24
"3717","KRTCAP2",24
"3718","KRTCAP3",3
"3719","KSR1",1
"3720","KSR2",2
"3721","KTI12",2
"3722","KY",8
"3723","KYAT1",24
"3724","L1CAM",1
"3725","L1TD1",1
"3726","L3HYPDH",15
"3727","L3MBTL1",2
"3728","L3MBTL4",2
"3729","LACC1",1
"3730","LACTB2",1
"3731","LAD1",3
"3732","LAMA1",4
"3733","LAMA2",4
"3734","LAMA3",8
"3735","LAMA4",2
"3736","LAMB3",3
"3737","LAMC1",2
"3738","LAMC2",4
"3739","LAMC3",2
"3740","LAMP3",5
"3741","LAMP5",2
"3742","LANCL3",1
"3743","LAPTM4B",1
"3744","LAPTM5",1
"3745","LARGE2",19
"3746","LARP6",3
"3747","LAT",19
"3748","LAX1",2
"3749","LAYN",3
"3750","LBH",2
"3751","LBHD1",2
"3752","LBP",5
"3753","LCA5",1
"3754","LCA5L",2
"3755","LCAT",3
"3756","LCN12",2
"3757","LCN15",11
"3758","LCN2",6
"3759","LCOR",5
"3760","LCP1",3
"3761","LCT",4
"3762","LCTL",8
"3763","LDB2",1
"3764","LDB3",4
"3765","LDHAL6A",11
"3766","LDHAL6B",17
"3767","LDHB",24
"3768","LDHD",6
"3769","LDLR",2
"3770","LDLRAD3",7
"3771","LDLRAD4",2
"3772","LDOC1",5
"3773","LEAP2",2
"3774","LEF1",4
"3775","LEFTY1",6
"3776","LEFTY2",4
"3777","LEKR1",1
"3778","LEMD1",13
"3779","LENG8",5
"3780","LEPR",4
"3781","LETM2",1
"3782","LEXM",1
"3783","LFNG",2
"3784","LGALS1",4
"3785","LGALS2",5
"3786","LGALS3",1
"3787","LGALS4",3
"3788","LGALS9B",4
"3789","LGALS9C",1
"3790","LGI2",3
"3791","LGI3",1
"3792","LGI4",2
"3793","LGMN",1
"3794","LGR5",17
"3795","LGR6",11
"3796","LHFPL3",7
"3797","LHFPL4",3
"3798","LHFPL5",24
"3799","LHFPL6",4
"3800","LHX4",16
"3801","LHX6",4
"3802","LIF",1
"3803","LIFR",3
"3804","LIG1",2
"3805","LILRA1",2
"3806","LILRA2",2
"3807","LILRA5",2
"3808","LILRA6",6
"3809","LILRB1",2
"3810","LILRB2",1
"3811","LILRB3",4
"3812","LILRB4",2
"3813","LILRB5",1
"3814","LIMCH1",1
"3815","LIMD2",2
"3816","LIME1",24
"3817","LIMS2",3
"3818","LIN37",24
"3819","LIN7A",2
"3820","LIN7C",1
"3821","LINGO3",1
"3822","LIPA",1
"3823","LIPC",1
"3824","LIPE",2
"3825","LIPG",3
"3826","LIPH",4
"3827","LIX1L",3
"3828","LLGL2",3
"3829","LMBR1",2
"3830","LMBRD1",1
"3831","LMBRD2",1
"3832","LMNB1",2
"3833","LMNB2",1
"3834","LMNTD2",9
"3835","LMO2",3
"3836","LMO3",10
"3837","LMO4",2
"3838","LMO7",3
"3839","LMOD1",4
"3840","LMOD3",9
"3841","LMTK2",1
"3842","LMTK3",10
"3843","LNP1",1
"3844","LNPK",1
"3845","LNX1",3
"3846","LNX2",3
"3847","LONRF2",3
"3848","LONRF3",6
"3849","LOX",3
"3850","LOXHD1",3
"3851","LOXL1",6
"3852","LOXL3",1
"3853","LOXL4",4
"3854","LPAR2",2
"3855","LPAR3",4
"3856","LPAR4",1
"3857","LPAR5",4
"3858","LPCAT1",1
"3859","LPCAT3",3
"3860","LPIN3",2
"3861","LPL",2
"3862","LPP",1
"3863","LRATD1",7
"3864","LRATD2",2
"3865","LRBA",6
"3866","LRCH2",5
"3867","LRCH4",1
"3868","LRFN5",6
"3869","LRG1",3
"3870","LRGUK",6
"3871","LRIF1",1
"3872","LRIG1",1
"3873","LRIT2",16
"3874","LRIT3",1
"3875","LRMDA",1
"3876","LRP1",2
"3877","LRP11",24
"3878","LRP12",1
"3879","LRP2BP",9
"3880","LRP3",2
"3881","LRP4",6
"3882","LRP8",5
"3883","LRRC10B",2
"3884","LRRC14",1
"3885","LRRC15",17
"3886","LRRC17",1
"3887","LRRC19",8
"3888","LRRC2",7
"3889","LRRC25",1
"3890","LRRC26",6
"3891","LRRC29",24
"3892","LRRC3",2
"3893","LRRC31",3
"3894","LRRC32",3
"3895","LRRC37A",3
"3896","LRRC37A2",1
"3897","LRRC39",2
"3898","LRRC4",8
"3899","LRRC43",1
"3900","LRRC46",4
"3901","LRRC49",1
"3902","LRRC4B",2
"3903","LRRC4C",3
"3904","LRRC55",2
"3905","LRRC56",3
"3906","LRRC66",1
"3907","LRRC69",5
"3908","LRRC7",1
"3909","LRRC70",23
"3910","LRRC73",1
"3911","LRRC75A",4
"3912","LRRC8B",2
"3913","LRRC8E",19
"3914","LRRCC1",1
"3915","LRRIQ3",2
"3916","LRRIQ4",2
"3917","LRRK1",4
"3918","LRRK2",3
"3919","LRRN1",6
"3920","LRRN2",2
"3921","LRRN3",7
"3922","LRRN4",4
"3923","LRRN4CL",3
"3924","LRRTM2",15
"3925","LRTOMT",23
"3926","LSAMP",4
"3927","LSM1",2
"3928","LSM12",1
"3929","LSMEM1",19
"3930","LSMEM2",3
"3931","LSP1",1
"3932","LSR",3
"3933","LST1",2
"3934","LTB",4
"3935","LTB4R",4
"3936","LTB4R2",2
"3937","LTBP1",2
"3938","LTBP2",4
"3939","LTBP3",2
"3940","LTC4S",2
"3941","LTF",2
"3942","LTK",1
"3943","LTO1",1
"3944","LUC7L",1
"3945","LUC7L3",1
"3946","LUM",3
"3947","LURAP1",3
"3948","LUZP2",6
"3949","LXN",1
"3950","LY6E",4
"3951","LY6G5B",2
"3952","LY6G5C",7
"3953","LY6G6C",4
"3954","LY75",2
"3955","LY86",2
"3956","LY9",3
"3957","LY96",3
"3958","LYG1",4
"3959","LYL1",3
"3960","LYNX1",3
"3961","LYPD1",8
"3962","LYPD3",4
"3963","LYPD5",1
"3964","LYPD6",2
"3965","LYPD6B",2
"3966","LYPD8",4
"3967","LYRM2",1
"3968","LYRM9",10
"3969","LYSMD4",2
"3970","LYST",1
"3971","LYVE1",3
"3972","LYZ",1
"3973","LZTR1",24
"3974","LZTS1",1
"3975","LZTS2",1
"3976","LZTS3",2
"3977","MAB21L1",3
"3978","MAB21L2",2
"3979","MAB21L3",24
"3980","MAB21L4",10
"3981","MACC1",14
"3982","MACF1",2
"3983","MACROD2",1
"3984","MAD1L1",24
"3985","MAD2L1",3
"3986","MADCAM1",7
"3987","MAEL",1
"3988","MAF",2
"3989","MAFB",2
"3990","MAFF",2
"3991","MAFK",2
"3992","MAGEB17",12
"3993","MAGED1",1
"3994","MAGEE1",2
"3995","MAGEH1",4
"3996","MAGEL2",2
"3997","MAGI2",1
"3998","MAK",11
"3999","MAL",3
"4000","MAL2",3
"4001","MALL",16
"4002","MALRD1",8
"4003","MAMDC2",5
"4004","MAMDC4",2
"4005","MAML2",2
"4006","MAMSTR",3
"4007","MAN1A1",1
"4008","MAN1A2",1
"4009","MAN1C1",5
"4010","MAN2A1",1
"4011","MAN2C1",2
"4012","MANEA",1
"4013","MANEAL",1
"4014","MANSC1",2
"4015","MAOA",1
"4016","MAOB",3
"4017","MAP10",1
"4018","MAP1A",8
"4019","MAP1B",7
"4020","MAP1LC3A",1
"4021","MAP1LC3C",1
"4022","MAP2K6",5
"4023","MAP3K1",2
"4024","MAP3K10",1
"4025","MAP3K12",3
"4026","MAP3K13",7
"4027","MAP3K20",7
"4028","MAP3K21",3
"4029","MAP3K7CL",3
"4030","MAP3K9",4
"4031","MAP4K1",2
"4032","MAP4K4",1
"4033","MAP6",4
"4034","MAP6D1",20
"4035","MAP7",3
"4036","MAP7D1",2
"4037","MAP7D2",8
"4038","MAP7D3",1
"4039","MAP9",1
"4040","MAPK10",3
"4041","MAPK11",2
"4042","MAPK13",3
"4043","MAPK4",2
"4044","MAPK8IP3",2
"4045","MAPRE3",1
"4046","MAPT",6
"4047","MARCKS",2
"4048","MARCKSL1",3
"4049","MARCO",5
"4050","MARK1",3
"4051","MARS2",4
"4052","MARVELD2",3
"4053","MARVELD3",4
"4054","MASP1",5
"4055","MASP2",24
"4056","MAST1",1
"4057","MAST2",1
"4058","MASTL",1
"4059","MAT1A",5
"4060","MATK",1
"4061","MATN2",2
"4062","MATN3",1
"4063","MATN4",2
"4064","MATR3",24
"4065","MAZ",24
"4066","MB21D2",1
"4067","MBD5",1
"4068","MBNL3",5
"4069","MBOAT1",1
"4070","MBP",1
"4071","MC1R",4
"4072","MCAM",3
"4073","MCC",4
"4074","MCCC2",1
"4075","MCEMP1",2
"4076","MCF2L2",2
"4077","MCHR1",2
"4078","MCIDAS",5
"4079","MCM10",7
"4080","MCM2",2
"4081","MCM4",4
"4082","MCM8",1
"4083","MCM9",1
"4084","MCMDC2",5
"4085","MCOLN2",7
"4086","MCOLN3",1
"4087","MCTP1",3
"4088","MCTP2",3
"4089","MCUR1",1
"4090","MDFI",2
"4091","MDFIC",2
"4092","MDGA1",3
"4093","MDH1B",1
"4094","MDK",1
"4095","MDM1",1
"4096","MDN1",1
"4097","MDP1",24
"4098","ME1",1
"4099","MEA1",1
"4100","MECOM",3
"4101","MED12L",1
"4102","MED13",1
"4103","MED14",3
"4104","MED17",15
"4105","MED31",3
"4106","MEDAG",1
"4107","MEF2B",22
"4108","MEF2C",2
"4109","MEFV",3
"4110","MEGF11",7
"4111","MEGF6",1
"4112","MEI1",2
"4113","MEIOC",18
"4114","MEIS1",4
"4115","MEIS2",3
"4116","MEIS3",4
"4117","MELK",2
"4118","MELTF",2
"4119","MEMO1",24
"4120","MEOX1",4
"4121","MEOX2",3
"4122","MEP1A",9
"4123","MERTK",1
"4124","MESP1",2
"4125","MESP2",3
"4126","MEST",1
"4127","MET",14
"4128","METTL21A",18
"4129","METTL24",5
"4130","METTL27",5
"4131","METTL7A",2
"4132","METTL7B",3
"4133","MEX3A",15
"4134","MEX3B",2
"4135","MFAP2",1
"4136","MFAP3L",2
"4137","MFAP4",6
"4138","MFAP5",5
"4139","MFGE8",1
"4140","MFNG",1
"4141","MFSD14A",24
"4142","MFSD2A",2
"4143","MFSD2B",3
"4144","MFSD3",1
"4145","MFSD4A",8
"4146","MFSD6L",4
"4147","MGA",4
"4148","MGAM",2
"4149","MGAM2",4
"4150","MGARP",4
"4151","MGAT2",24
"4152","MGAT5",8
"4153","MGAT5B",1
"4154","MGMT",1
"4155","MGP",3
"4156","MGST1",1
"4157","MIB2",1
"4158","MICALL2",2
"4159","MICOS10",24
"4160","MICU3",3
"4161","MID1",2
"4162","MID2",2
"4163","MIEN1",1
"4164","MIGA2",1
"4165","MINAR1",1
"4166","MINDY4",24
"4167","MIPEP",1
"4168","MIPOL1",2
"4169","MISP",4
"4170","MISP3",3
"4171","MITF",3
"4172","MIXL1",2
"4173","MKI67",4
"4174","MKNK1",1
"4175","MKRN2OS",5
"4176","MKX",6
"4177","MLANA",20
"4178","MLF1",2
"4179","MLH1",1
"4180","MLLT11",5
"4181","MLLT3",2
"4182","MLLT6",1
"4183","MLPH",8
"4184","MLXIPL",9
"4185","MMACHC",2
"4186","MME",3
"4187","MMGT1",1
"4188","MMP1",6
"4189","MMP10",5
"4190","MMP11",6
"4191","MMP12",6
"4192","MMP13",4
"4193","MMP14",1
"4194","MMP15",2
"4195","MMP16",4
"4196","MMP17",1
"4197","MMP19",2
"4198","MMP2",2
"4199","MMP21",7
"4200","MMP23B",20
"4201","MMP24",13
"4202","MMP25",2
"4203","MMP28",7
"4204","MMP3",7
"4205","MMP7",7
"4206","MMP8",1
"4207","MMP9",3
"4208","MMRN1",4
"4209","MMRN2",4
"4210","MMS22L",4
"4211","MN1",4
"4212","MND1",8
"4213","MNDA",2
"4214","MNS1",1
"4215","MNX1",3
"4216","MOAP1",1
"4217","MOB1B",1
"4218","MOB2",2
"4219","MOB3B",2
"4220","MOCOS",4
"4221","MOCS1",1
"4222","MOCS3",1
"4223","MOGAT2",3
"4224","MOGAT3",6
"4225","MORN2",1
"4226","MORN3",1
"4227","MOXD1",4
"4228","MPDZ",5
"4229","MPEG1",3
"4230","MPG",1
"4231","MPIG6B",1
"4232","MPL",2
"4233","MPND",1
"4234","MPO",1
"4235","MPP1",2
"4236","MPP2",4
"4237","MPP3",1
"4238","MPP7",3
"4239","MPPE1",9
"4240","MPPED2",3
"4241","MPRIP",1
"4242","MPV17L",2
"4243","MPZ",3
"4244","MPZL2",6
"4245","MPZL3",5
"4246","MR1",2
"4247","MRAP2",1
"4248","MRAS",5
"4249","MRC1",3
"4250","MRC2",2
"4251","MREG",1
"4252","MRGBP",1
"4253","MRGPRE",1
"4254","MRGPRF",5
"4255","MRI1",2
"4256","MRM2",24
"4257","MRNIP",4
"4258","MROH6",4
"4259","MROH7",18
"4260","MROH8",1
"4261","MRPL12",20
"4262","MRPL14",1
"4263","MRPL2",1
"4264","MRPL23",2
"4265","MRPL33",2
"4266","MRPL38",24
"4267","MRPL41",1
"4268","MRPL46",23
"4269","MRPS17",1
"4270","MRPS18A",1
"4271","MRPS18C",6
"4272","MRPS21",1
"4273","MRPS24",24
"4274","MRPS28",15
"4275","MRPS30",4
"4276","MRPS34",1
"4277","MS4A1",3
"4278","MS4A12",8
"4279","MS4A14",1
"4280","MS4A2",1
"4281","MS4A4A",5
"4282","MS4A4E",24
"4283","MS4A6A",2
"4284","MS4A7",1
"4285","MS4A8",6
"4286","MSANTD1",9
"4287","MSANTD2",5
"4288","MSC",1
"4289","MSH4",6
"4290","MSH5",6
"4291","MSI1",8
"4292","MSI2",1
"4293","MSLN",6
"4294","MSMO1",2
"4295","MSR1",4
"4296","MSRB3",5
"4297","MSS51",5
"4298","MST1",9
"4299","MST1R",3
"4300","MSTN",1
"4301","MSTO1",8
"4302","MSX1",6
"4303","MSX2",8
"4304","MT1A",3
"4305","MT1F",3
"4306","MT1G",4
"4307","MT1H",3
"4308","MT1M",3
"4309","MT1X",4
"4310","MTAP",1
"4311","MTBP",1
"4312","MTCL1",1
"4313","MTCP1",9
"4314","MTERF1",1
"4315","MTFP1",24
"4316","MTFR1L",2
"4317","MTFR2",2
"4318","MTG1",24
"4319","MTHFD1L",2
"4320","MTHFS",24
"4321","MTLN",1
"4322","MTMR11",3
"4323","MTMR3",24
"4324","MTMR7",10
"4325","MTMR8",8
"4326","MTNR1A",4
"4327","MTPN",2
"4328","MTRF1L",2
"4329","MTRNR2L3",3
"4330","MTRNR2L8",24
"4331","MTSS1",2
"4332","MTSS2",5
"4333","MTTP",15
"4334","MTURN",1
"4335","MTUS2",2
"4336","MTX1",1
"4337","MTX3",1
"4338","MUC12",12
"4339","MUC13",3
"4340","MUC16",13
"4341","MUC17",4
"4342","MUC19",1
"4343","MUC2",2
"4344","MUC20",13
"4345","MUC3A",3
"4346","MUC4",3
"4347","MUC5AC",5
"4348","MUC5B",3
"4349","MUC6",14
"4350","MUSK",4
"4351","MUTYH",24
"4352","MVB12B",2
"4353","MX1",1
"4354","MX2",1
"4355","MXD1",5
"4356","MXRA5",3
"4357","MXRA7",4
"4358","MXRA8",3
"4359","MYADM",2
"4360","MYADML2",2
"4361","MYB",4
"4362","MYBL1",2
"4363","MYBL2",6
"4364","MYBPC1",7
"4365","MYBPC3",2
"4366","MYC",8
"4367","MYCBPAP",3
"4368","MYCL",3
"4369","MYCN",1
"4370","MYCT1",2
"4371","MYDGF",1
"4372","MYEF2",3
"4373","MYEOV",10
"4374","MYH10",2
"4375","MYH11",7
"4376","MYH14",4
"4377","MYH15",3
"4378","MYH3",5
"4379","MYH7B",1
"4380","MYL4",1
"4381","MYL5",2
"4382","MYL6",3
"4383","MYL9",3
"4384","MYLK",5
"4385","MYLK2",3
"4386","MYLK3",3
"4387","MYO10",2
"4388","MYO15A",1
"4389","MYO15B",2
"4390","MYO16",2
"4391","MYO18A",1
"4392","MYO1A",6
"4393","MYO1B",1
"4394","MYO1D",3
"4395","MYO1H",1
"4396","MYO3A",1
"4397","MYO3B",2
"4398","MYO5A",3
"4399","MYO5B",5
"4400","MYO5C",3
"4401","MYO6",3
"4402","MYO7A",1
"4403","MYO7B",4
"4404","MYOCD",5
"4405","MYOF",1
"4406","MYOM1",4
"4407","MYOM3",6
"4408","MYORG",1
"4409","MYOT",3
"4410","MYOZ2",3
"4411","MYOZ3",4
"4412","MYPN",5
"4413","MYRF",2
"4414","MYRFL",2
"4415","MYRIP",1
"4416","MYT1",4
"4417","MYZAP",21
"4418","MZB1",5
"4419","MZF1",2
"4420","MZT2A",1
"4421","MZT2B",13
"4422","NAAA",3
"4423","NAALAD2",7
"4424","NAALADL1",2
"4425","NAALADL2",18
"4426","NAB2",1
"4427","NABP1",4
"4428","NACAD",3
"4429","NACC2",1
"4430","NADK2",1
"4431","NAGS",2
"4432","NAIP",24
"4433","NALCN",4
"4434","NANOGP8",1
"4435","NANOS1",3
"4436","NANOS3",2
"4437","NANS",1
"4438","NAP1L1",1
"4439","NAP1L2",5
"4440","NAP1L3",4
"4441","NAP1L5",2
"4442","NAPA",1
"4443","NAPRT",3
"4444","NAPSA",18
"4445","NAT1",1
"4446","NAT14",1
"4447","NAT2",8
"4448","NAV1",1
"4449","NAV2",5
"4450","NAV3",5
"4451","NAXD",1
"4452","NBEA",1
"4453","NBEAL2",2
"4454","NBPF10",24
"4455","NBPF11",21
"4456","NBPF12",5
"4457","NBPF14",24
"4458","NBPF15",8
"4459","NBPF19",24
"4460","NBPF20",22
"4461","NBPF26",23
"4462","NBPF4",2
"4463","NBPF6",7
"4464","NBPF9",2
"4465","NCALD",1
"4466","NCAM1",4
"4467","NCAM2",1
"4468","NCAPD2",2
"4469","NCAPD3",2
"4470","NCAPG",3
"4471","NCAPG2",2
"4472","NCAPH",4
"4473","NCCRP1",1
"4474","NCEH1",4
"4475","NCF1",8
"4476","NCF2",3
"4477","NCF4",1
"4478","NCKAP1L",4
"4479","NCKAP5",3
"4480","NCMAP",7
"4481","NCOA4",1
"4482","NCOA7",2
"4483","NCR3",2
"4484","NCR3LG1",7
"4485","NCS1",10
"4486","NDC1",3
"4487","NDFIP1",1
"4488","NDFIP2",3
"4489","NDN",4
"4490","NDNF",1
"4491","NDOR1",8
"4492","NDRG1",1
"4493","NDRG2",1
"4494","NDRG4",3
"4495","NDST2",24
"4496","NDST3",11
"4497","NDUFA11",20
"4498","NDUFA13",24
"4499","NDUFA2",2
"4500","NDUFA7",24
"4501","NDUFA9",23
"4502","NDUFB8",24
"4503","NDUFB9",1
"4504","NDUFC2",8
"4505","NDUFS6",1
"4506","NDUFS7",18
"4507","NDUFV2",24
"4508","NEB",13
"4509","NEBL",9
"4510","NECAB1",19
"4511","NECTIN1",3
"4512","NECTIN3",4
"4513","NECTIN4",3
"4514","NEDD4",1
"4515","NEDD4L",2
"4516","NEDD8",2
"4517","NEDD9",2
"4518","NEFH",4
"4519","NEFL",1
"4520","NEFM",1
"4521","NEGR1",6
"4522","NEIL1",1
"4523","NEIL3",9
"4524","NEK2",3
"4525","NEK3",1
"4526","NEK5",9
"4527","NEK6",1
"4528","NEK8",1
"4529","NELL2",2
"4530","NES",1
"4531","NETO2",3
"4532","NEU4",8
"4533","NEURL2",12
"4534","NEURL3",2
"4535","NEURL4",2
"4536","NEXMIF",4
"4537","NEXN",3
"4538","NF2",1
"4539","NFAM1",1
"4540","NFASC",5
"4541","NFATC1",1
"4542","NFATC2",6
"4543","NFATC2IP",1
"4544","NFATC4",6
"4545","NFE2",2
"4546","NFE2L3",4
"4547","NFIA",14
"4548","NFIB",4
"4549","NFIC",3
"4550","NFIX",7
"4551","NFKBID",1
"4552","NFKBIE",1
"4553","NFYB",1
"4554","NGEF",7
"4555","NGF",2
"4556","NGFR",3
"4557","NGRN",2
"4558","NHEJ1",13
"4559","NHLH1",1
"4560","NHLRC1",1
"4561","NHLRC4",3
"4562","NHS",6
"4563","NHSL1",5
"4564","NHSL2",4
"4565","NIBAN1",6
"4566","NIBAN3",4
"4567","NID1",4
"4568","NID2",1
"4569","NIM1K",3
"4570","NIN",2
"4571","NINJ1",1
"4572","NINL",1
"4573","NIPAL1",7
"4574","NIPAL4",4
"4575","NIPBL",1
"4576","NKAIN2",1
"4577","NKAIN3",5
"4578","NKAIN4",2
"4579","NKAPL",3
"4580","NKD1",20
"4581","NKD2",10
"4582","NKPD1",8
"4583","NKX2-2",7
"4584","NKX2-3",3
"4585","NKX3-2",4
"4586","NLGN2",3
"4587","NLGN3",4
"4588","NLGN4X",4
"4589","NLGN4Y",6
"4590","NLN",4
"4591","NLRC4",5
"4592","NLRP1",3
"4593","NLRP11",3
"4594","NLRP12",4
"4595","NLRP2",1
"4596","NLRP3",1
"4597","NLRP6",3
"4598","NMB",1
"4599","NME1",1
"4600","NME2",24
"4601","NME3",1
"4602","NME4",1
"4603","NME9",12
"4604","NMNAT2",5
"4605","NMU",3
"4606","NMUR1",3
"4607","NNAT",18
"4608","NNMT",4
"4609","NOCT",2
"4610","NOD2",7
"4611","NODAL",19
"4612","NOG",1
"4613","NOL12",22
"4614","NOL3",2
"4615","NOMO2",8
"4616","NOMO3",12
"4617","NOP2",24
"4618","NOS1",5
"4619","NOS2",8
"4620","NOTCH2",1
"4621","NOTCH2NLA",24
"4622","NOTCH2NLC",10
"4623","NOTCH3",4
"4624","NOTCH4",2
"4625","NOTUM",16
"4626","NOVA1",4
"4627","NOX1",8
"4628","NOX4",3
"4629","NOXA1",3
"4630","NOXRED1",1
"4631","NPAS1",2
"4632","NPAS2",1
"4633","NPAS4",3
"4634","NPC1",1
"4635","NPC1L1",2
"4636","NPDC1",2
"4637","NPEPL1",23
"4638","NPFF",23
"4639","NPFFR1",9
"4640","NPHP1",3
"4641","NPHP3",18
"4642","NPHS1",1
"4643","NPIPA1",14
"4644","NPIPA2",24
"4645","NPIPA3",24
"4646","NPIPA5",24
"4647","NPIPA7",24
"4648","NPIPB11",24
"4649","NPIPB12",24
"4650","NPIPB13",24
"4651","NPIPB15",2
"4652","NPIPB2",24
"4653","NPIPB3",24
"4654","NPIPB4",24
"4655","NPIPB5",24
"4656","NPIPB6",24
"4657","NPIPB8",20
"4658","NPM2",6
"4659","NPNT",1
"4660","NPPC",1
"4661","NPR1",2
"4662","NPR2",3
"4663","NPR3",2
"4664","NPRL3",1
"4665","NPSR1",11
"4666","NPTX1",1
"4667","NPTX2",2
"4668","NPTXR",3
"4669","NPW",4
"4670","NPY",3
"4671","NPY1R",1
"4672","NPY4R",16
"4673","NPY4R2",16
"4674","NQO1",2
"4675","NQO2",1
"4676","NR0B2",8
"4677","NR1D1",1
"4678","NR1H4",3
"4679","NR1I2",7
"4680","NR1I3",23
"4681","NR2F1",2
"4682","NR3C1",2
"4683","NR3C2",2
"4684","NR4A1",3
"4685","NR4A2",2
"4686","NR4A3",6
"4687","NR5A2",8
"4688","NR6A1",2
"4689","NRARP",2
"4690","NRBP2",3
"4691","NRCAM",3
"4692","NREP",22
"4693","NRG1",4
"4694","NRG3",1
"4695","NRG4",4
"4696","NRGN",1
"4697","NRIP2",9
"4698","NRIP3",5
"4699","NRK",4
"4700","NRN1",1
"4701","NRP1",2
"4702","NRP2",6
"4703","NRROS",4
"4704","NRSN1",1
"4705","NRTN",10
"4706","NRXN1",3
"4707","NRXN2",1
"4708","NRXN3",3
"4709","NSG1",6
"4710","NSG2",1
"4711","NSMF",1
"4712","NSRP1",1
"4713","NSUN5",3
"4714","NT5C2",1
"4715","NT5C3B",1
"4716","NT5DC1",1
"4717","NT5DC3",4
"4718","NT5DC4",9
"4719","NT5E",1
"4720","NTM",2
"4721","NTMT1",2
"4722","NTN1",2
"4723","NTN4",2
"4724","NTN5",3
"4725","NTNG1",2
"4726","NTNG2",4
"4727","NTRK1",2
"4728","NTRK2",2
"4729","NTRK3",1
"4730","NTSR1",9
"4731","NUAK1",1
"4732","NUAK2",2
"4733","NUBP1",5
"4734","NUDCD1",1
"4735","NUDT10",3
"4736","NUDT11",2
"4737","NUDT13",1
"4738","NUDT16L1",1
"4739","NUDT17",2
"4740","NUDT19",4
"4741","NUDT2",2
"4742","NUDT3",24
"4743","NUDT6",2
"4744","NUDT7",5
"4745","NUDT8",3
"4746","NUF2",2
"4747","NUFIP1",1
"4748","NUGGC",4
"4749","NUMBL",1
"4750","NUP153",1
"4751","NUP155",7
"4752","NUP210",5
"4753","NUP210L",3
"4754","NUP50",1
"4755","NUP62CL",3
"4756","NUPR1",9
"4757","NUSAP1",24
"4758","NUTM1",8
"4759","NUTM2A",18
"4760","NUTM2B",3
"4761","NUTM2D",12
"4762","NUTM2E",24
"4763","NUTM2G",23
"4764","NWD1",4
"4765","NWD2",3
"4766","NXF3",1
"4767","NXN",6
"4768","NXPE1",5
"4769","NXPE2",3
"4770","NXPE4",4
"4771","NXPH3",5
"4772","NXPH4",5
"4773","NYAP1",3
"4774","NYAP2",2
"4775","NYNRIN",4
"4776","OAS2",1
"4777","OAS3",3
"4778","OASL",1
"4779","OAZ2",3
"4780","OAZ3",1
"4781","OBSCN",2
"4782","OCA2",1
"4783","OCLN",3
"4784","ODAM",4
"4785","ODF3L2",4
"4786","OGDHL",2
"4787","OGFOD2",23
"4788","OGFR",1
"4789","OGN",11
"4790","OIP5",4
"4791","OIT3",1
"4792","OLFM1",4
"4793","OLFM2",1
"4794","OLFM4",8
"4795","OLFML1",4
"4796","OLFML2A",4
"4797","OLFML2B",1
"4798","OLFML3",3
