"","gene","n"
"767","C11orf65",9
"768","C11orf86",6
"769","C11orf91",1
"770","C11orf96",2
"771","C12orf42",1
"772","C12orf57",8
"773","C12orf60",3
"774","C12orf75",1
"775","C13orf46",5
"776","C14orf132",6
"777","C14orf28",2
"778","C14orf93",1
"779","C15orf40",17
"780","C15orf48",20
"781","C15orf62",14
"782","C16orf54",1
"783","C16orf74",1
"784","C16orf86",4
"785","C16orf89",4
"786","C16orf95",10
"787","C17orf100",1
"788","C17orf107",3
"789","C17orf49",24
"790","C17orf67",1
"791","C17orf78",3
"792","C17orf97",2
"793","C18orf32",6
"794","C19orf71",11
"795","C19orf73",1
"796","C1GALT1",1
"797","C1GALT1C1L",2
"798","C1QA",1
"799","C1QB",2
"800","C1QC",2
"801","C1QL1",2
"802","C1QL3",23
"803","C1QTNF12",3
"804","C1QTNF2",3
"805","C1QTNF3",4
"806","C1QTNF4",5
"807","C1QTNF7",6
"808","C1QTNF9",4
"809","C1R",4
"810","C1S",3
"811","C1orf115",2
"812","C1orf116",3
"813","C1orf210",3
"814","C1orf216",3
"815","C1orf52",1
"816","C1orf54",5
"817","C1orf56",2
"818","C2",4
"819","C20orf202",1
"820","C20orf203",1
"821","C20orf27",1
"822","C21orf62",1
"823","C22orf23",10
"824","C22orf39",1
"825","C2CD4A",4
"826","C2CD4B",4
"827","C2CD4C",8
"828","C2CD4D",2
"829","C2CD6",4
"830","C2orf15",5
"831","C2orf16",24
"832","C2orf50",1
"833","C2orf72",6
"834","C2orf74",24
"835","C2orf81",12
"836","C2orf88",5
"837","C2orf92",1
"838","C3",3
"839","C3AR1",3
"840","C3orf14",1
"841","C3orf18",3
"842","C3orf20",4
"843","C3orf33",14
"844","C3orf49",23
"845","C3orf52",3
"846","C3orf80",4
"847","C3orf85",6
"848","C4A",10
"849","C4B",7
"850","C4BPA",3
"851","C4BPB",7
"852","C4orf19",5
"853","C4orf36",21
"854","C4orf48",1
"855","C4orf50",2
"856","C5",1
"857","C5AR1",2
"858","C5orf34",1
"859","C5orf51",1
"860","C5orf52",6
"861","C5orf58",22
"862","C5orf63",2
"863","C6orf132",3
"864","C6orf141",5
"865","C6orf15",10
"866","C6orf163",5
"867","C6orf201",19
"868","C6orf226",1
"869","C6orf52",2
"870","C7",6
"871","C7orf25",24
"872","C7orf61",1
"873","C8orf34",1
"874","C8orf76",24
"875","C8orf88",3
"876","C9orf116",6
"877","C9orf131",21
"878","C9orf152",4
"879","C9orf43",1
"880","C9orf50",10
"881","CA1",8
"882","CA11",1
"883","CA12",3
"884","CA13",6
"885","CA14",1
"886","CA2",9
"887","CA3",1
"888","CA4",6
"889","CA7",7
"890","CA9",5
"891","CAB39L",4
"892","CABCOCO1",2
"893","CABLES2",1
"894","CABP1",1
"895","CABP4",1
"896","CABP7",5
"897","CACHD1",2
"898","CACNA1A",2
"899","CACNA1B",3
"900","CACNA1C",3
"901","CACNA1E",1
"902","CACNA1F",9
"903","CACNA1H",4
"904","CACNA1I",2
"905","CACNA2D1",4
"906","CACNA2D2",1
"907","CACNA2D3",4
"908","CACNA2D4",1
"909","CACNB1",3
"910","CACNB2",5
"911","CACNG4",2
"912","CACNG8",1
"913","CACTIN",1
"914","CADM1",1
"915","CADM2",1
"916","CADM3",5
"917","CADM4",3
"918","CADPS",5
"919","CALB1",14
"920","CALB2",2
"921","CALCA",1
"922","CALCRL",3
"923","CALD1",6
"924","CALHM2",2
"925","CALHM5",4
"926","CALHM6",4
"927","CALML4",24
"928","CALML6",5
"929","CALY",1
"930","CAMK1",4
"931","CAMK1D",6
"932","CAMK1G",2
"933","CAMK2A",2
"934","CAMK2B",1
"935","CAMK2G",1
"936","CAMK2N1",2
"937","CAMK2N2",3
"938","CAMK4",1
"939","CAMKK1",1
"940","CAMKV",3
"941","CAMSAP3",3
"942","CAND2",6
"943","CANT1",2
"944","CAP2",5
"945","CAPN11",1
"946","CAPN12",5
"947","CAPN13",5
"948","CAPN14",2
"949","CAPN15",1
"950","CAPN3",22
"951","CAPN5",2
"952","CAPN6",3
"953","CAPN8",4
"954","CAPRIN1",1
"955","CAPS2",3
"956","CARD14",5
"957","CARD17",1
"958","CARD6",1
"959","CARMIL1",4
"960","CARMIL2",1
"961","CARMIL3",2
"962","CARNS1",1
"963","CARTPT",1
"964","CASK",4
"965","CASKIN1",3
"966","CASP4",1
"967","CASP5",5
"968","CASQ1",3
"969","CASQ2",5
"970","CASR",23
"971","CASS4",1
"972","CASTOR1",24
"973","CASTOR2",1
"974","CAT",1
"975","CATSPER1",1
"976","CATSPER2",2
"977","CATSPER3",1
"978","CATSPERB",4
"979","CATSPERG",2
"980","CAV1",4
"981","CAV2",1
"982","CAVIN1",5
"983","CAVIN2",4
"984","CAVIN3",7
"985","CAVIN4",1
"986","CBARP",1
"987","CBFA2T3",1
"988","CBLC",3
"989","CBLIF",3
"990","CBLN1",1
"991","CBLN2",4
"992","CBLN3",2
"993","CBR3",13
"994","CBS",14
"995","CBWD1",5
"996","CBWD3",17
"997","CBWD5",23
"998","CBWD6",21
"999","CBX2",4
"1000","CBX5",2
"1001","CBX6",3
"1002","CBX7",3
"1003","CBX8",1
"1004","CBY1",2
"1005","CC2D2A",5
"1006","CC2D2B",2
"1007","CCBE1",2
"1008","CCDC102A",3
"1009","CCDC106",2
"1010","CCDC107",24
"1011","CCDC110",1
"1012","CCDC113",5
"1013","CCDC12",1
"1014","CCDC122",1
"1015","CCDC127",1
"1016","CCDC136",4
"1017","CCDC138",4
"1018","CCDC141",4
"1019","CCDC146",1
"1020","CCDC148",2
"1021","CCDC15",5
"1022","CCDC150",4
"1023","CCDC152",1
"1024","CCDC153",1
"1025","CCDC154",2
"1026","CCDC157",5
"1027","CCDC159",1
"1028","CCDC17",4
"1029","CCDC170",14
"1030","CCDC171",1
"1031","CCDC174",1
"1032","CCDC175",5
"1033","CCDC178",2
"1034","CCDC18",1
"1035","CCDC180",21
"1036","CCDC181",5
"1037","CCDC183",5
"1038","CCDC184",2
"1039","CCDC187",3
"1040","CCDC188",4
"1041","CCDC189",24
"1042","CCDC192",5
"1043","CCDC196",14
"1044","CCDC200",23
"1045","CCDC30",1
"1046","CCDC33",3
"1047","CCDC34",1
"1048","CCDC40",2
"1049","CCDC43",1
"1050","CCDC6",2
"1051","CCDC60",5
"1052","CCDC61",1
"1053","CCDC65",24
"1054","CCDC68",6
"1055","CCDC69",4
"1056","CCDC7",9
"1057","CCDC74A",2
"1058","CCDC74B",3
"1059","CCDC78",4
"1060","CCDC8",4
"1061","CCDC80",4
"1062","CCDC81",3
"1063","CCDC85A",7
"1064","CCDC88A",2
"1065","CCDC96",1
"1066","CCDC9B",3
"1067","CCER2",3
"1068","CCIN",1
"1069","CCL11",3
"1070","CCL13",3
"1071","CCL14",18
"1072","CCL15",20
"1073","CCL16",1
"1074","CCL18",4
"1075","CCL19",4
"1076","CCL2",2
"1077","CCL20",6
"1078","CCL21",2
"1079","CCL22",4
"1080","CCL24",2
"1081","CCL28",5
"1082","CCL3",11
"1083","CCL8",3
"1084","CCM2L",10
"1085","CCN1",1
"1086","CCN2",1
"1087","CCN3",2
"1088","CCN4",3
"1089","CCN5",5
"1090","CCN6",4
"1091","CCNA1",1
"1092","CCNA2",3
"1093","CCNB1",3
"1094","CCNB2",3
"1095","CCNB3",1
"1096","CCND1",4
"1097","CCND2",6
"1098","CCNE1",1
"1099","CCNE2",1
"1100","CCNF",3
"1101","CCNG1",1
"1102","CCNI2",3
"1103","CCNJL",1
"1104","CCNK",17
"1105","CCNL2",2
"1106","CCNO",3
"1107","CCPG1",22
"1108","CCR1",4
"1109","CCR10",3
"1110","CCR2",3
"1111","CCR3",4
"1112","CCR4",2
"1113","CCR5",1
"1114","CCR6",4
"1115","CCR7",3
"1116","CCR8",4
"1117","CCR9",4
"1118","CCRL2",2
"1119","CCSER1",3
"1120","CCSER2",1
"1121","CCZ1",12
"1122","CCZ1B",10
"1123","CD109",2
"1124","CD14",2
"1125","CD160",8
"1126","CD163",4
"1127","CD163L1",2
"1128","CD164L2",1
"1129","CD177",8
"1130","CD180",2
"1131","CD19",7
"1132","CD1A",1
"1133","CD1C",1
"1134","CD1D",8
"1135","CD1E",1
"1136","CD2",1
"1137","CD200R1",2
"1138","CD209",2
"1139","CD22",5
"1140","CD24",6
"1141","CD248",2
"1142","CD27",3
"1143","CD274",1
"1144","CD28",2
"1145","CD2AP",3
"1146","CD300A",2
"1147","CD300C",1
"1148","CD300E",1
"1149","CD302",10
"1150","CD33",2
"1151","CD34",4
"1152","CD36",3
"1153","CD37",4
"1154","CD38",2
"1155","CD3E",1
"1156","CD3G",4
"1157","CD4",2
"1158","CD40LG",3
"1159","CD44",1
"1160","CD48",8
"1161","CD5",6
"1162","CD52",5
"1163","CD53",2
"1164","CD55",1
"1165","CD6",2
"1166","CD68",24
"1167","CD69",4
"1168","CD70",1
"1169","CD72",1
"1170","CD74",1
"1171","CD79A",3
"1172","CD79B",7
"1173","CD80",2
"1174","CD81",1
"1175","CD83",3
"1176","CD84",3
"1177","CD86",3
"1178","CD8A",1
"1179","CD8B",1
"1180","CD93",3
"1181","CD96",1
"1182","CD99",1
"1183","CD99L2",1
"1184","CDA",1
"1185","CDC20",3
"1186","CDC25A",3
"1187","CDC25C",3
"1188","CDC26",23
"1189","CDC42BPG",3
"1190","CDC42EP2",24
"1191","CDC42EP3",3
"1192","CDC42EP5",7
"1193","CDC42SE2",1
"1194","CDC45",3
"1195","CDC6",6
"1196","CDCA2",6
"1197","CDCA3",2
"1198","CDCA5",4
"1199","CDCA7",5
"1200","CDCA7L",1
"1201","CDCA8",3
"1202","CDCP1",3
"1203","CDH1",6
"1204","CDH11",1
"1205","CDH13",2
"1206","CDH15",1
"1207","CDH16",7
"1208","CDH17",5
"1209","CDH19",5
"1210","CDH2",4
"1211","CDH23",3
"1212","CDH24",1
"1213","CDH3",8
"1214","CDH4",12
"1215","CDH5",1
"1216","CDH6",3
"1217","CDH8",1
"1218","CDHR1",2
"1219","CDHR2",6
"1220","CDHR3",1
"1221","CDHR5",12
"1222","CDIP1",2
"1223","CDK1",2
"1224","CDK10",1
"1225","CDK11A",23
"1226","CDK11B",4
"1227","CDK14",3
"1228","CDK15",1
"1229","CDK18",2
"1230","CDK20",1
"1231","CDK3",24
"1232","CDK5RAP3",24
"1233","CDK6",7
"1234","CDKAL1",1
"1235","CDKL2",3
"1236","CDKL3",18
"1237","CDKN1A",1
"1238","CDKN1C",2
"1239","CDKN2A",1
"1240","CDKN2B",8
"1241","CDKN2D",1
"1242","CDKN3",3
"1243","CDNF",1
"1244","CDO1",3
"1245","CDON",3
"1246","CDR2L",1
